l9_component,other_component,correlation_De,abs_correlation_De,correlation_Ut,abs_correlation_Ut,difference,abs_difference
L9_ATTN,L1_MLP,-0.16673746534182649,0.16673746534182649,-0.976440671727645,0.976440671727645,0.8097032063858185,0.8097032063858185
L9_MLP,L18_ATTN,0.6883085209501837,0.6883085209501837,-0.040868244730727935,0.040868244730727935,0.7291767656809116,0.7291767656809116
L9_MLP,L4_MLP,0.5572252249912943,0.5572252249912943,-0.17051920704197912,0.17051920704197912,0.7277444320332734,0.7277444320332734
L9_MLP,L18_MLP,0.5173702310539738,0.5173702310539738,-0.17332380832668864,0.17332380832668864,0.6906940393806624,0.6906940393806624
L9_MLP,L25_ATTN,-0.501163869833632,0.501163869833632,0.1728710132986085,0.1728710132986085,-0.6740348831322405,0.6740348831322405
L9_MLP,L19_ATTN,0.32332536383044774,0.32332536383044774,-0.3498344745790576,0.3498344745790576,0.6731598384095053,0.6731598384095053
L9_ATTN,L21_MLP,0.21937668267630828,0.21937668267630828,-0.41769412363338804,0.41769412363338804,0.6370708063096964,0.6370708063096964
L9_MLP,L25_MLP,0.02022394686373414,0.02022394686373414,0.6331339796352362,0.6331339796352362,-0.612910032771502,0.612910032771502
L9_MLP,L16_ATTN,0.1725621624245188,0.1725621624245188,0.7564562250846447,0.7564562250846447,-0.5838940626601259,0.5838940626601259
L9_MLP,L8_MLP,-0.5495991730790036,0.5495991730790036,0.019674348589036172,0.019674348589036172,-0.5692735216680398,0.5692735216680398
L9_MLP,L24_MLP,0.23605062034548396,0.23605062034548396,0.6955485155139511,0.6955485155139511,-0.4594978951684672,0.4594978951684672
L9_ATTN,L16_ATTN,0.6799747319100724,0.6799747319100724,0.2231515743867971,0.2231515743867971,0.4568231575232753,0.4568231575232753
L9_MLP,L10_MLP,-0.3910014658862694,0.3910014658862694,0.06350340923050823,0.06350340923050823,-0.4545048751167776,0.4545048751167776
L9_MLP,L13_ATTN,-0.37273504607750935,0.37273504607750935,-0.8047592112894306,0.8047592112894306,0.4320241652119213,0.4320241652119213
L9_MLP,L0_ATTN,0.6170609073445337,0.6170609073445337,0.20034374130204086,0.20034374130204086,0.4167171660424928,0.4167171660424928
L9_ATTN,L15_MLP,-0.6694437732011682,0.6694437732011682,-0.2564988702939934,0.2564988702939934,-0.41294490290717484,0.41294490290717484
L9_MLP,L19_MLP,0.0032775131407400543,0.0032775131407400543,0.4135135047390607,0.4135135047390607,-0.41023599159832064,0.41023599159832064
L9_MLP,L20_MLP,-0.19093559652343803,0.19093559652343803,0.21762818062324576,0.21762818062324576,-0.4085637771466838,0.4085637771466838
L9_MLP,L17_MLP,-0.11461606485383456,0.11461606485383456,0.28915583352344476,0.28915583352344476,-0.40377189837727934,0.40377189837727934
L9_ATTN,L18_ATTN,-0.6288627004705124,0.6288627004705124,-0.2257984052567892,0.2257984052567892,-0.4030642952137232,0.4030642952137232
L9_MLP,L6_MLP,-0.5867752964344107,0.5867752964344107,-0.18867821798434137,0.18867821798434137,-0.39809707845006936,0.39809707845006936
L9_ATTN,L16_MLP,-0.247614181633781,0.247614181633781,-0.6431654297464601,0.6431654297464601,0.39555124811267905,0.39555124811267905
L9_ATTN,L3_MLP,0.4206094409397644,0.4206094409397644,0.8071254247958228,0.8071254247958228,-0.38651598385605845,0.38651598385605845
L9_ATTN,L14_MLP,0.4471956525268359,0.4471956525268359,0.061686636691368334,0.061686636691368334,0.3855090158354676,0.3855090158354676
L9_MLP,L3_ATTN,0.563102017667557,0.563102017667557,0.18359091549446052,0.18359091549446052,0.37951110217309647,0.37951110217309647
L9_MLP,L23_MLP,0.4414553574973166,0.4414553574973166,0.7970614260912268,0.7970614260912268,-0.35560606859391014,0.35560606859391014
L9_MLP,L14_MLP,-0.2558583733597389,0.2558583733597389,-0.6014534788226252,0.6014534788226252,0.34559510546288635,0.34559510546288635
L9_MLP,L15_ATTN,-0.17229920139067478,0.17229920139067478,0.16715291487003567,0.16715291487003567,-0.3394521162607105,0.3394521162607105
L9_ATTN,L20_MLP,-0.2182858673248625,0.2182858673248625,-0.555799038602935,0.555799038602935,0.3375131712780725,0.3375131712780725
L9_ATTN,L21_ATTN,0.3666814299949214,0.3666814299949214,0.6965368896362961,0.6965368896362961,-0.3298554596413747,0.3298554596413747
L9_MLP,L14_ATTN,0.006620169025030247,0.006620169025030247,-0.3227658384180213,0.3227658384180213,0.3293860074430516,0.3293860074430516
L9_ATTN,L0_ATTN,-0.21035553535378387,0.21035553535378387,-0.5257047516994972,0.5257047516994972,0.3153492163457133,0.3153492163457133
L9_ATTN,L22_MLP,0.11947916723389182,0.11947916723389182,-0.19523688127095118,0.19523688127095118,0.314716048504843,0.314716048504843
L9_MLP,L22_MLP,0.4202640900879057,0.4202640900879057,0.7240807722542407,0.7240807722542407,-0.303816682166335,0.303816682166335
L9_MLP,L21_MLP,0.1764046490227408,0.1764046490227408,0.46739688103569865,0.46739688103569865,-0.2909922320129579,0.2909922320129579
L9_ATTN,L23_MLP,0.12266375945604578,0.12266375945604578,-0.15345243518278473,0.15345243518278473,0.2761161946388305,0.2761161946388305
L9_ATTN,L15_ATTN,-0.6405734437850037,0.6405734437850037,-0.9094512993463292,0.9094512993463292,0.2688778555613255,0.2688778555613255
L9_ATTN,L11_ATTN,0.8108109470758276,0.8108109470758276,0.5500922912277201,0.5500922912277201,0.2607186558481075,0.2607186558481075
L9_MLP,L1_ATTN,-0.49799368637612323,0.49799368637612323,-0.24466245803138542,0.24466245803138542,-0.2533312283447378,0.2533312283447378
L9_ATTN,L24_MLP,0.16649460472284972,0.16649460472284972,-0.08661436623346815,0.08661436623346815,0.25310897095631785,0.25310897095631785
L9_MLP,L8_ATTN,-0.3401141148727313,0.3401141148727313,-0.09854905040545568,0.09854905040545568,-0.2415650644672756,0.2415650644672756
L9_MLP,L12_ATTN,0.6111100469203246,0.6111100469203246,0.851864086455797,0.851864086455797,-0.24075403953547247,0.24075403953547247
L9_MLP,L6_ATTN,-0.4665606197865988,0.4665606197865988,-0.23060064409319597,0.23060064409319597,-0.23595997569340282,0.23595997569340282
L9_ATTN,L19_ATTN,0.5187757787877361,0.5187757787877361,0.2833980558477758,0.2833980558477758,0.2353777229399603,0.2353777229399603
L9_MLP,L2_ATTN,-0.593180610719509,0.593180610719509,-0.3704932228483488,0.3704932228483488,-0.22268738787116021,0.22268738787116021
L9_ATTN,L25_MLP,0.3979712942485371,0.3979712942485371,0.19272084726878042,0.19272084726878042,0.2052504469797567,0.2052504469797567
L9_ATTN,L0_MLP,-0.7565000712494234,0.7565000712494234,-0.959365337776022,0.959365337776022,0.20286526652659853,0.20286526652659853
L9_MLP,L20_ATTN,0.5848304448957728,0.5848304448957728,0.7874313252181239,0.7874313252181239,-0.20260088032235102,0.20260088032235102
L9_MLP,L5_ATTN,-0.5759646943848074,0.5759646943848074,-0.3736059095520531,0.3736059095520531,-0.20235878483275427,0.20235878483275427
L9_MLP,L11_MLP,-0.29201244276863253,0.29201244276863253,-0.10054620206122292,0.10054620206122292,-0.1914662407074096,0.1914662407074096
