model_id,probe_type,layer,train_accuracy,test_accuracy,train_r2,test_r2,train_mse,test_mse,n_train_samples,n_test_samples,coef_norm,intercept
PT3_COREDe,betrayal,0,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.4334536891433275,-0.0014000981201059874
PT3_COREDe,payoff,0,0.0,0.0,0.13100706876895574,0.43347679154220886,1.946544165957539,1.269011986945452,10,5,1.0148862600326538,9.770665168762207
PT3_COREDe,betrayal,1,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6643533891987491,0.0017759485264364247
PT3_COREDe,payoff,1,0.0,0.0,0.3104770459854689,0.5460623351787888,1.5445314169925495,1.0168203691995132,10,5,1.6604433059692383,6.01950740814209
PT3_COREDe,betrayal,2,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7135925591190405,12.095826454992304
PT3_COREDe,payoff,2,0.0,0.0,0.30458094703873984,0.561310786571795,1.5577386786332226,0.9826638380791792,10,5,1.5990535020828247,-5.932618618011475
PT3_COREDe,betrayal,3,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7927894228080203,16.97507180813712
PT3_COREDe,payoff,3,0.0,0.0,0.3804429844203696,0.6487858434933773,1.387807714898372,0.7867197105748346,10,5,1.6941089630126953,-40.727256774902344
PT3_COREDe,betrayal,4,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7227125295518059,13.225741685742005
PT3_COREDe,payoff,4,0.0,0.0,0.3924013956088207,0.6531651049813912,1.3610208738362417,0.7769101648416836,10,5,1.724517822265625,-57.25342559814453
PT3_COREDe,betrayal,5,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.9236291771133008,0.0029266340322144117
PT3_COREDe,payoff,5,0.0,0.0,0.4192132413396783,0.6985805113100858,1.3009623393991205,0.6751796546654077,10,5,1.7713309526443481,-18.669269561767578
PT3_COREDe,betrayal,6,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.9406033233924802,-19.410224331809882
PT3_COREDe,payoff,6,0.0,0.0,0.38273445958835894,0.67563413531382,1.3826748105220759,0.726579536897043,10,5,1.7289903163909912,-20.087318420410156
PT3_COREDe,betrayal,7,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.4165937662701855,-31.341237819131507
PT3_COREDe,payoff,7,0.0,0.0,0.781663912886326,0.8887105636573226,0.48907283513462974,0.2492883374075973,10,5,2.2278239727020264,17.551719665527344
PT3_COREDe,betrayal,8,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5370469245652991,-67.30323143458583
PT3_COREDe,payoff,8,0.0,0.0,0.8989347403499193,0.9306416857543159,0.22638618161618068,0.15536262391033234,10,5,2.1087589263916016,35.29806137084961
PT3_COREDe,betrayal,9,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5208665733800217,-39.49670381411826
PT3_COREDe,payoff,9,0.0,0.0,0.9550088630869128,0.9656890758300725,0.10078014668531524,0.07685647014063761,10,5,1.865033507347107,10.67126178741455
PT3_COREDe,betrayal,10,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5274065411117843,-18.32236105004297
PT3_COREDe,payoff,10,0.0,0.0,0.9718424730388376,0.9727779686500436,0.06307286039300379,0.06097735022390225,10,5,1.706573247909546,-3.1562609672546387
PT3_COREDe,betrayal,11,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.4004558116923207,0.002808715630667801
PT3_COREDe,payoff,11,0.0,0.0,0.995891690587391,0.9730211207173421,0.009202613084244148,0.06043268959315355,10,5,1.0942623615264893,-4.405524730682373
PT3_COREDe,betrayal,12,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.284250713698395,0.00010167154610315638
PT3_COREDe,payoff,12,0.0,0.0,0.9965910947666308,0.9825835973627315,0.007635947722747005,0.03901274190748154,10,5,1.0184931755065918,6.262564659118652
PT3_COREDe,betrayal,13,1.0,1.0,0.0,0.0,0.0,0.0,10,5,0.9722719691194424,-0.0009704247174227736
PT3_COREDe,payoff,13,0.0,0.0,0.9994807692454758,0.9882269263650058,0.0011630768901341071,0.02637168494238722,10,5,0.6468092799186707,-3.904900074005127
PT3_COREDe,betrayal,14,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.7300172007693773,-0.0011566192566146304
PT3_COREDe,payoff,14,0.0,0.0,0.9998617301494187,0.8676910755103009,0.00030972446530199706,0.296371990856926,10,5,0.4618290364742279,-1.0549488067626953
PT3_COREDe,betrayal,15,1.0,0.6,0.0,0.0,0.0,0.0,10,5,0.7190977538718603,8.702037275258202e-06
PT3_COREDe,payoff,15,0.0,0.0,0.9999276392938035,0.9025828842851686,0.00016208798188017682,0.21821433920122218,10,5,0.38802680373191833,-15.283365249633789
PT3_COREDe,betrayal,16,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6471165626710109,0.0008807725518148761
PT3_COREDe,payoff,16,0.0,0.0,0.9999847355738731,0.6783193645534635,3.4192314524261745e-05,0.7205646234002415,10,5,0.27643418312072754,-10.338434219360352
PT3_COREDe,betrayal,17,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6885806736112002,-0.0005235340260038155
PT3_COREDe,payoff,17,0.0,0.0,0.9999805410938285,0.6249579085484069,4.358794982408654e-05,0.8400942848515683,10,5,0.29018154740333557,5.150446891784668
PT3_COREDe,betrayal,18,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6876522680118664,-0.00027256230685894793
PT3_COREDe,payoff,18,0.0,0.0,0.9999864272420703,0.5373464700135203,3.0402977762378215e-05,1.0363439071697145,10,5,0.2621355652809143,3.711352586746216
PT3_COREDe,betrayal,19,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6954820868899886,-0.00024520937136488814
PT3_COREDe,payoff,19,0.0,0.0,0.9999885753946671,0.6158854268433304,2.559111594564456e-05,0.8604166438709399,10,5,0.2494199126958847,2.284883975982666
PT3_COREDe,betrayal,20,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6991743120171375,-0.0004128095829929633
PT3_COREDe,payoff,20,0.0,0.0,0.9999898941511819,0.6343888998777872,2.26371013525295e-05,0.8189688642737565,10,5,0.24215756356716156,6.634655475616455
PT3_COREDe,betrayal,21,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6818417976528631,0.0002633771314764974
PT3_COREDe,payoff,21,0.0,0.0,0.9999915132751686,0.6783516975456709,1.9010263622476485e-05,0.7204921974976969,10,5,0.2282470017671585,8.134809494018555
PT3_COREDe,betrayal,22,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6528127653616875,-0.000222968661453966
PT3_COREDe,payoff,22,0.0,0.0,0.9999937053932391,0.7046658560412676,1.4099919144427987e-05,0.6615484824675605,10,5,0.21238447725772858,3.542450428009033
PT3_COREDe,betrayal,23,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6251907371115768,-0.00028557283562582325
PT3_COREDe,payoff,23,0.0,0.0,0.99999585666994,0.7443567255054526,9.281059334398378e-06,0.5726409348677862,10,5,0.1896635890007019,3.737395763397217
PT3_COREDe,betrayal,24,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.5927242349975194,-0.00015897299644097347
PT3_COREDe,payoff,24,0.0,0.0,0.9999972793763118,0.762538471879313,6.094197061656814e-06,0.5319138229903387,10,5,0.17004384100437164,2.1134238243103027
PT3_COREDe,betrayal,25,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.5156062001192535,0.00016355450109557896
PT3_COREDe,payoff,25,0.0,0.0,0.9999985523651398,0.7845482293024385,3.242702086936333e-06,0.4826119663625377,10,5,0.14551645517349243,-6.264252185821533
